InvoiceId|CustomerId|InvoiceDate|BillingAddress|BillingCity|BillingState|BillingCountry|BillingPostalCode
98|1|2010-03-11_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
98|1|2010-03-11_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
121|1|2010-06-13_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
121|1|2010-06-13_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
121|1|2010-06-13_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
121|1|2010-06-13_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
143|1|2010-09-15_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
143|1|2010-09-15_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
143|1|2010-09-15_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
143|1|2010-09-15_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
143|1|2010-09-15_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
143|1|2010-09-15_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
195|1|2011-05-06_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
316|1|2012-10-27_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
316|1|2012-10-27_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
327|1|2012-12-07_00:00:00|Av._Brigadeiro_Faria_Lima,2170|São_Josédos_Campos|SP|Brazil|12227-000
